"year","start","s_lat","s_long","finish","f_lat","f_long","commute_time","avail","weekday"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.36432178509422,0,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.1694186729379,0,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.389806224312633,2,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.58470933646895,2,"Thurs"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.58470933646895,1,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.779612448625267,1,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.779612448625267,1,"Wed"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.974515560781583,0,"Wed"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.389806224312633,2,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.389806224312633,0,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.974515560781583,0,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.779612448625267,0,"Fri"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.779612448625267,1,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.1694186729379,2,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.58470933646895,3,"Mon"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.55922489725053,0,"Mon"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.779612448625267,0,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.36432178509422,1,"Tue"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.58470933646895,1,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.1694186729379,0,"Wed"
2024,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,1.36432178509422,2,"Tue"
2023,"El Raval",4138.09,216.77,"El Raval",4138.09,216.77,0.974515560781583,0,"Tue"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,9.54801961876076,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,28.6440588562823,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,28.6440588562823,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,23.8700490469019,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,23.8700490469019,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,42.9660882844234,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,9.54801961876076,0,"Thurs"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,23.8700490469019,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,4.77400980938038,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Fri"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Tue"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,23.8700490469019,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,19.0960392375215,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,0,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2024,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,9.54801961876076,0,"Tue"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,14.3220294281411,0,"Wed"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,9.54801961876076,0,"Fri"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,4.77400980938038,0,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,4.59719482937027,2,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,2.29859741468513,1,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,2.29859741468513,0,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,6.8957922440554,2,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,6.8957922440554,0,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,3.4478961220277,0,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,4.59719482937027,1,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,10.3436883660831,1,"Tue"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,5.74649353671283,1,"Thurs"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,8.04509095139796,1,"Thurs"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,3.4478961220277,0,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,6.8957922440554,0,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,6.8957922440554,1,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,5.74649353671283,0,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,4.59719482937027,0,"Thurs"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,4.59719482937027,2,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,6.8957922440554,0,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,9.19438965874053,1,"Wed"
2024,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,4.59719482937027,0,"Wed"
2023,"El Raval",4138.09,216.77,"Eixample",4139.02,216.24,6.8957922440554,3,"Wed"
2023,"El Raval",4138.09,216.77,"Gracia",4140.92,215.7,24.482830692192,1,"Mon"
2024,"El Raval",4138.09,216.77,"Gracia",4140.92,215.7,0,3,"Mon"
2023,"El Raval",4138.09,216.77,"Gracia",4140.92,215.7,10.4926417252251,1,"Mon"
2024,"El Raval",4138.09,216.77,"Gracia",4140.92,215.7,17.4877362087086,3,"Mon"
