"year","start","s_lat","s_long","finish","f_lat","f_long","commute_time","avail","weekday"
2024,"Poble Sec",4137.24,216.18,"El Born",4138.57,218.27,11.4045916765914,5,"Wed"
2023,"Gracia",4140.92,215.7,"Sant Antoni",4137.84,216.45,6.879946984179,0,"Thurs"
2023,"Barceloneta",4138.03,218.94,"Gracia",4140.92,215.7,13.2048679323537,2,"Tue"
2024,"Eixample",4139.02,216.24,"Gracia",4140.92,215.7,17.5896140834958,0,"Thurs"
2024,"Sants",4137.58,213.74,"Barceloneta",4138.03,218.94,31.26097960056,1,"Thurs"
2023,"El Raval",4138.09,216.77,"Gothic Quarter",4138.39,217.74,12.5510077073703,0,"Wed"
2024,"El Born",4138.57,218.27,"Gothic Quarter",4138.39,217.74,8.82554096061455,0,"Wed"
2024,"Sarria",4140.17,212.8,"Sants",4137.58,213.74,24.8364237260495,0,"Tue"
2023,"Eixample",4139.02,216.24,"El Born",4138.57,218.27,2.92890329932907,2,"Thurs"
2024,"Sant Antoni",4137.84,216.45,"El Born",4138.57,218.27,25.1429227717133,0,"Tue"
2023,"Sants",4137.58,213.74,"Eixample",4139.02,216.24,5.82321076899475,0,"Tue"
2024,"El Born",4138.57,218.27,"Sant Antoni",4137.84,216.45,10.4668415754424,4,"Thurs"
2024,"Barceloneta",4138.03,218.94,"Eixample",4139.02,216.24,4.95737354569627,2,"Tue"
2023,"Gothic Quarter",4138.39,217.74,"Poble Sec",4137.24,216.18,16.4712811408638,0,"Wed"
2023,"El Born",4138.57,218.27,"El Raval",4138.09,216.77,17.9971089870613,0,"Thurs"
2023,"Barceloneta",4138.03,218.94,"El Born",4138.57,218.27,14.4688232853776,0,NA
2023,"Gracia",4140.92,215.7,"Eixample",4139.02,216.24,2.80639312547321,0,"Wed"
2024,"Sants",4137.58,213.74,"Sant Antoni",4137.84,216.45,13.8211072493524,0,"Thurs"
2023,"Poble Sec",4137.24,216.18,"Barceloneta",4138.03,218.94,17.8401015516904,0,"Wed"
2024,"Sants",4137.58,213.74,"Sant Antoni",4137.84,216.45,13.8211072493524,0,"Thurs"
2023,"Gracia",4140.92,215.7,"Gothic Quarter",4138.39,217.74,34.504109280562,0,"Wed"
2023,"Gracia",4140.92,215.7,"Sarria",4140.17,212.8,19.6464277004336,0,"Tue"
2024,"Sants",4137.58,213.74,"Poble Sec",4137.24,216.18,26.0719995884169,0,"Fri"
2023,"Poble Sec",4137.24,216.18,"El Born",4138.57,218.27,9.50382639715948,3,"Wed"
2023,"Gothic Quarter",4138.39,217.74,"Sants",4137.58,213.74,8.17776083927337,0,"Mon"
2024,"Poble Sec",4137.24,216.18,"El Raval",4138.09,216.77,19.1515042707471,1,"Wed"
2023,"Barceloneta",4138.03,218.94,"Gothic Quarter",4138.39,217.74,1.60889844888644,2,"Wed"
2024,"Gracia",4140.92,215.7,"Sant Antoni",4137.84,216.45,27.519787936716,0,"Tue"
2023,"Gothic Quarter",4138.39,217.74,"Eixample",4139.02,216.24,16.0402901887302,0,"Wed"
2023,"Gothic Quarter",4138.39,217.74,"Gracia",4140.92,215.7,16.1576045132387,0,"Wed"
2023,"Eixample",4139.02,216.24,"Gracia",4140.92,215.7,2.9316023472493,0,"Thurs"
2023,"Gracia",4140.92,215.7,"Sarria",4140.17,212.8,19.6464277004336,0,"Tue"
2023,"Eixample",4139.02,216.24,"Gothic Quarter",4138.39,217.74,5.82184598834406,0,"Thurs"
2024,"Barceloneta",4138.03,218.94,"Eixample",4139.02,216.24,17.350807409937,2,"Wed"
2024,"Eixample",4139.02,216.24,"Gothic Quarter",4138.39,217.74,4.99015370429491,2,"Thurs"
2023,"Gothic Quarter",4138.39,217.74,"Sant Antoni",4137.84,216.45,4.68531986106999,0,"Mon"
2024,"Eixample",4139.02,216.24,"El Raval",4138.09,216.77,3.70032893463961,3,"Fri"
2024,"El Raval",4138.09,216.77,"Barceloneta",4138.03,218.94,63.2930398186638,0,"Fri"
2024,"Sant Antoni",4137.84,216.45,"Gracia",4140.92,215.7,22.374025829309,0,"Thurs"
2023,"Sarria",4140.17,212.8,"Gracia",4140.92,215.7,8.35314260733867,0,"Fri"
2024,"Sarria",4140.17,212.8,"Gracia",4140.92,215.7,29.2359991256854,0,"Thurs"
2024,"Barceloneta",4138.03,218.94,"Eixample",4139.02,216.24,7.43606031854441,1,"Tue"
2023,"Gracia",4140.92,215.7,"El Raval",4138.09,216.77,12.0454044006778,1,"Wed"
2023,"Gracia",4140.92,215.7,"Sant Antoni",4137.84,216.45,27.519787936716,0,"Fri"
2024,"Sant Antoni",4137.84,216.45,"Barceloneta",4138.03,218.94,20.7197007754977,2,"Thurs"
2023,"Sarria",4140.17,212.8,"Gothic Quarter",4138.39,217.74,25.4740766557409,5,"Tue"
2024,"Eixample",4139.02,216.24,"Poble Sec",4137.24,216.18,4.76390353610493,2,"Tue"
2023,"Sarria",4140.17,212.8,"El Born",4138.57,218.27,79.9484601860949,7,"Wed"
2023,"Sants",4137.58,213.74,"El Born",4138.57,218.27,40.1498704813515,2,"Wed"
2023,"Sant Antoni",4137.84,216.45,"Sarria",4140.17,212.8,16.7525940098438,1,"Mon"
2023,"Gracia",4140.92,215.7,"El Raval",4138.09,216.77,6.02270220033888,1,"Wed"
2023,"El Born",4138.57,218.27,"Gracia",4140.92,215.7,19.5110234873051,1,"Thurs"
2024,"Poble Sec",4137.24,216.18,"Sant Antoni",4137.84,216.45,1.56712469396585,1,"Tue"
2024,"Sants",4137.58,213.74,"El Raval",4138.09,216.77,22.1215834768989,1,"Tue"
2024,"Gracia",4140.92,215.7,"Sants",4137.58,213.74,38.0879866368336,0,"Thurs"
2023,"Poble Sec",4137.24,216.18,"Gracia",4140.92,215.7,6.71529727312914,0,"Fri"
2023,"Sant Antoni",4137.84,216.45,"El Raval",4138.09,216.77,0,0,"Tue"
2023,"Gothic Quarter",4138.39,217.74,"Gothic Quarter",4138.39,217.74,11.4953787706891,0,"Wed"
2023,"Gracia",4140.92,215.7,"Sants",4137.58,213.74,15.2351946547334,0,"Tue"
2024,"Sarria",4140.17,212.8,"Sant Antoni",4137.84,216.45,60.7787059501737,0,"Wed"
2024,"Sant Antoni",4137.84,216.45,"Sants",4137.58,213.74,11.9536145862584,0,"Wed"
